Building for debugging...
[0/3] Write swift-version--58304C5D6DBC2206.txt
Build of product 'App' complete! (0.18s)
[ INFO ] GET /api/chat/unread [request-id: 7D0907E7-9173-4FEC-B47C-D56D6FED3DE8]
[ INFO ] GET /api/games/for/93D33D62-1E7D-4025-8084-6805D4674AE3 [request-id: 45141D4D-34DB-4E1D-A71B-AAD56458DB48]
[ INFO ] GET /api/badges/player/93D33D62-1E7D-4025-8084-6805D4674AE3 [request-id: 8D185903-589E-4159-91A1-A1791B611D39]
[ INFO ] GET /api/players/93D33D62-1E7D-4025-8084-6805D4674AE3/stats [request-id: 061BAEAC-544F-4677-B42D-84C04D8ECBEE]
[ INFO ] GET /api/personal/93D33D62-1E7D-4025-8084-6805D4674AE3 [request-id: D6580AA2-B012-4BE8-8C6E-B302410E0A68]
[ INFO ] GET /api/ai/feedback/player/93D33D62-1E7D-4025-8084-6805D4674AE3 [request-id: 5D4B8301-F1C6-4A81-B8FF-74AE56BA258A]
[ INFO ] GET /api/vocab/stats/93D33D62-1E7D-4025-8084-6805D4674AE3 [request-id: 937AEA80-F0A0-45AD-B31A-FFF5C3BC3557]
[ INFO ] GET /favicon.ico [request-id: BA5A16E3-A451-4FE5-A27C-AEF75F098656]
[ INFO ] GET /apple-touch-icon-precomposed.png [request-id: D9B962DA-1BE9-490A-B806-A1934913C5FF]
[ INFO ] GET /apple-touch-icon.png [request-id: 594EBA71-8F57-44DF-839B-22E7E11DDEF3]
[ INFO ] GET /api/chat/unread [request-id: FBC3A4EA-C3D1-422F-8A92-3B5FE68AF0D0]
[ INFO ] GET /admin/index.html [request-id: DCB891FF-317C-4551-B4FC-80D02F987D22]
[ INFO ] GET /api/games [request-id: B15329E6-D588-4421-B689-687B151BFDD8]
[ INFO ] GET /api/admin/students [request-id: 2529624B-756A-402E-A1FF-D3703DAF486F]
[ INFO ] GET /api/admin/overview [request-id: 14D5322B-F6AA-46E2-91FB-8421845A12CE]
[ INFO ] GET /api/chat/unread [request-id: ED1D87C6-57EC-41ED-910C-B8FF8D4702C6]
[ INFO ] GET /api/admin/klassen/list [request-id: 3C5F9A1D-7E58-41EA-A80F-58C91EEB30E3]
[ INFO ] GET /api/chat/all [request-id: BAC4B13A-B384-442B-958C-34FB9BBBBBE3]
[ INFO ] GET /api/admin/vocab/topics [request-id: 5BC8613E-9277-4BFC-9FEA-B7F58DE9347F]
[ INFO ] GET /api/chat/unread [request-id: 8080E875-EC49-4CAE-89E5-CBEDD87D3B31]
[ INFO ] GET /api/chat/unread [request-id: 0AD707C7-AAA7-4D0D-9C01-B17B76400A9D]
[ INFO ] GET /api/chat/unread [request-id: 2C2E36F4-4C0D-4FB0-81BD-2CE1150B1DB5]
[ INFO ] GET /api/system-prompt [request-id: F2772C88-BD4B-4B01-87BE-C746E914D4C3]
[ INFO ] GET /api/chat/unread [request-id: 2D086EB4-5543-4701-B341-434397B84E1B]
[ INFO ] GET /api/chat/unread [request-id: E8906CDA-268A-4076-BBCE-4743A15B490A]
[ INFO ] GET /api/chat/unread [request-id: 830900FF-C4E9-4C5F-BA5B-8FD51B24957C]
[ INFO ] GET /api/chat/unread [request-id: 050DBEBE-7A15-437B-B2AA-7AFA5272FB65]
[ INFO ] GET /api/chat/unread [request-id: E7BFECAE-5059-43F4-8DF4-223F0E4A82A7]
[ INFO ] GET /api/chat/unread [request-id: 47C95FA4-C2FA-414A-950A-54C9FF1F7B42]
[ INFO ] GET /api/chat/unread [request-id: 84697088-AD0A-401A-AF5F-4FA19B21DA75]
[ INFO ] GET /api/chat/unread [request-id: 66029F87-6A53-4CB5-88CC-31F6B43D167C]
[ INFO ] GET /api/chat/unread [request-id: C01EF177-9BD1-4F33-BDF2-3B99AEB0D217]
[ INFO ] GET /api/chat/unread [request-id: E8855B83-EEC7-4D9D-A30E-98E89123AAA1]
[ INFO ] GET /api/chat/unread [request-id: 5D30D5DD-CFCE-4AAD-8A4D-335D795C1091]
[ INFO ] GET /api/chat/unread [request-id: 3F941723-E7A9-488E-B34E-9B6EFA5746CA]
